1,baseuser_auth,create
2,baseuser_auth,docreate
3,baseuser_auth,activate
4,baseuser_auth,login
5,baseuser_auth,remind
6,baseuser_auth,dologin
7,baseuser_auth,doremind
8,baseuser_auth,recover
9,baseuser_auth,dorecover
10,baseuser_index,index
11,baseuser_auth,logout
12,baseuser_user,index
13,baseuser_user,create
14,baseuser_user,edit
15,baseuser_user,view
16,baseuser_user,save
17,baseuser_user,delete
18,shop_cart,index
19,shop_cart,add
20,shop_cart,remove
21,shop_cart,checkout
22,baseuser_auth,logout
23,baseuser_profile,edit
24,baseuser_profile,save
