67,"Account recoverd successfully",67,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
68,Profile,68,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
69,"Sign Out",69,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
70,Dashboard,70,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
71,Users,71,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
72,"Users List",72,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
73,"User Create",73,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
74,"Products List",74,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
75,"Product Create",75,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
76,"Profile is required",76,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
77,List,77,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
78,List,78,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
79,ID,79,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
80,Email,80,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
81,Profile,81,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
82,Actions,82,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
83,Edit,83,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
84,Edit,84,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
85,Edit,85,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
86,ID,86,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
87,Email,87,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
88,Profile,88,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
89,Cancel,89,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
90,Save,90,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
91,"Record saved successfully",91,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
92,Create,92,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
93,Create,93,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
94,"Deleted successfully",94,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
95,"Name is required",95,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
96,"Price is required",96,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
97,Name,97,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
98,Price,98,1,1,"2022-04-19 19:32:10","2022-04-19 19:32:10"
